interaction_id,customer_name,interaction_type,interaction_date,interaction_channel,feedback_score
245,Emily Davis,Order Issue,2023-02-28,Email,6
246,Jack Thompson,Product Inquiry,2023-08-11,In-store,3
247,Emily Davis,Order Issue,2023-05-02,Social Media,1
248,Ivy Carter,Product Inquiry,2022-01-03,Live Chat,4
249,Jack Thompson,Technical Support,2023-11-06,Phone,10
250,Charlie Brown,General Inquiry,2022-07-11,In-store,9
251,David Smith,Technical Support,2023-10-23,Email,1
252,Frank Miller,General Inquiry,2024-01-13,In-store,1
253,Frank Miller,Feedback,2022-03-10,Phone,6
254,Charlie Brown,Order Issue,2022-07-02,Email,9
255,Frank Miller,General Inquiry,2023-06-08,Social Media,4
256,Alice Johnson,Feedback,2023-10-17,Social Media,3
257,Alice Johnson,Feedback,2023-04-13,In-store,2
258,Ivy Carter,Technical Support,2023-06-13,Social Media,4
259,Jack Thompson,General Inquiry,2023-03-31,Email,4
260,Jack Thompson,Product Inquiry,2023-03-04,Email,8
261,Jack Thompson,General Inquiry,2022-09-30,In-store,4
262,Grace Lee,Feedback,2023-04-25,In-store,4
263,Jack Thompson,General Inquiry,2023-09-13,In-store,9
264,Ivy Carter,Feedback,2023-05-28,Social Media,1
265,Emily Davis,Order Issue,2023-10-18,In-store,4
266,Bob Williams,Order Issue,2023-11-24,In-store,7
267,Ivy Carter,Order Issue,2023-08-20,In-store,1
268,Charlie Brown,Technical Support,2022-09-11,Social Media,1
269,Grace Lee,Feedback,2022-01-22,Phone,3
270,Charlie Brown,General Inquiry,2022-06-16,Social Media,6
271,Grace Lee,Technical Support,2023-12-30,In-store,8
272,Jack Thompson,Feedback,2022-04-21,In-store,5
273,Henry Wilson,Product Inquiry,2022-04-12,Email,7
274,Alice Johnson,Product Inquiry,2022-05-24,Social Media,1
275,Emily Davis,Technical Support,2022-05-29,Social Media,2
276,Emily Davis,Technical Support,2023-02-03,Social Media,2
277,Charlie Brown,Technical Support,2024-02-12,Social Media,9
278,David Smith,General Inquiry,2022-09-27,Email,1
279,Henry Wilson,Order Issue,2022-11-28,Social Media,9
280,David Smith,Feedback,2022-01-17,Social Media,8
281,Frank Miller,Order Issue,2023-09-12,Phone,3
282,Grace Lee,Product Inquiry,2023-07-25,Social Media,9
283,Jack Thompson,Product Inquiry,2022-05-18,Social Media,5
284,Bob Williams,Technical Support,2022-02-07,In-store,2
285,Emily Davis,General Inquiry,2022-03-26,Live Chat,2
286,Grace Lee,General Inquiry,2024-01-13,Email,6
287,Jack Thompson,Order Issue,2023-09-20,Social Media,10
288,David Smith,Order Issue,2023-06-08,Email,7
289,Henry Wilson,Technical Support,2022-12-07,In-store,4
290,David Smith,Product Inquiry,2023-04-21,Live Chat,4
291,Henry Wilson,Technical Support,2023-05-01,Live Chat,2
292,Charlie Brown,General Inquiry,2023-01-13,Email,2
293,David Smith,General Inquiry,2022-04-23,Social Media,5
294,Emily Davis,Order Issue,2022-10-03,Social Media,4
295,David Smith,Feedback,2023-08-14,Live Chat,3
296,Ivy Carter,Order Issue,2023-05-17,Email,7
297,David Smith,Feedback,2022-10-04,In-store,8
298,Alice Johnson,General Inquiry,2022-11-28,Live Chat,10
299,Henry Wilson,General Inquiry,2023-04-30,Live Chat,3
300,Jack Thompson,General Inquiry,2023-07-17,Phone,7
301,David Smith,Feedback,2022-10-04,Email,2
302,Jack Thompson,Technical Support,2023-11-22,In-store,6
303,David Smith,Product Inquiry,2022-01-06,In-store,4
304,Jack Thompson,General Inquiry,2023-10-21,Email,6
305,Ivy Carter,General Inquiry,2022-09-14,Social Media,2
306,Frank Miller,Feedback,2022-01-26,Email,3
307,Frank Miller,Feedback,2023-03-10,Live Chat,10
308,Charlie Brown,Technical Support,2023-05-08,Phone,10
309,Henry Wilson,Technical Support,2023-12-06,In-store,3
310,Henry Wilson,Technical Support,2023-01-09,Live Chat,1
311,Grace Lee,Feedback,2023-02-28,In-store,5
312,Charlie Brown,Technical Support,2023-07-26,Social Media,10
313,Charlie Brown,Order Issue,2022-02-15,In-store,10
314,David Smith,Product Inquiry,2023-01-22,Email,1
315,Ivy Carter,Product Inquiry,2023-03-03,Phone,4
316,Frank Miller,General Inquiry,2022-01-13,Live Chat,3
317,Jack Thompson,General Inquiry,2022-01-30,Social Media,4
318,Emily Davis,Order Issue,2022-04-28,Email,3
319,Grace Lee,Feedback,2023-07-09,Email,1
320,Bob Williams,Technical Support,2022-04-16,In-store,2
321,Ivy Carter,Product Inquiry,2023-01-30,Live Chat,5
322,David Smith,Order Issue,2023-01-10,Live Chat,6
323,Bob Williams,General Inquiry,2023-06-22,Social Media,7
324,Emily Davis,Product Inquiry,2022-08-08,Social Media,3
325,Charlie Brown,Product Inquiry,2022-08-16,Phone,2
326,Ivy Carter,Technical Support,2023-11-16,Live Chat,3
327,Jack Thompson,General Inquiry,2022-11-09,Email,3
328,Ivy Carter,Order Issue,2022-03-21,Social Media,3
329,Ivy Carter,Order Issue,2023-01-26,Social Media,1
330,David Smith,Technical Support,2023-08-22,Email,1
331,Jack Thompson,Feedback,2022-12-19,Social Media,2
332,David Smith,Order Issue,2022-03-05,In-store,4
333,Frank Miller,Feedback,2023-04-06,Social Media,7
334,Ivy Carter,Order Issue,2023-07-08,Email,8
335,Emily Davis,Product Inquiry,2023-11-18,Social Media,4
336,Alice Johnson,Technical Support,2022-11-05,Email,9
337,Jack Thompson,Technical Support,2024-01-01,Social Media,2
338,Bob Williams,Order Issue,2022-10-24,In-store,4
339,Henry Wilson,General Inquiry,2023-12-09,Social Media,6
340,Emily Davis,General Inquiry,2023-07-21,In-store,3
341,Henry Wilson,Product Inquiry,2022-02-05,Live Chat,5
342,Grace Lee,General Inquiry,2023-05-06,Live Chat,8
343,Bob Williams,Product Inquiry,2022-03-08,Live Chat,6
344,Ivy Carter,Feedback,2022-12-21,Live Chat,7
345,Henry Wilson,General Inquiry,2023-02-05,In-store,5
346,Jack Thompson,Order Issue,2022-05-02,Live Chat,7
347,Bob Williams,Feedback,2022-06-14,Social Media,1
348,Emily Davis,General Inquiry,2022-09-01,Social Media,9
349,Charlie Brown,Feedback,2023-05-05,Phone,7
350,Frank Miller,Feedback,2022-11-23,Phone,2
351,Frank Miller,Order Issue,2022-10-23,Phone,7
352,Jack Thompson,Feedback,2023-07-11,Email,9
353,Alice Johnson,Product Inquiry,2022-04-21,Phone,9
354,Frank Miller,Technical Support,2022-03-15,In-store,5
355,Emily Davis,General Inquiry,2022-05-07,Phone,2
356,Ivy Carter,Feedback,2022-04-04,Email,2
357,Bob Williams,General Inquiry,2022-01-22,Phone,7
358,Grace Lee,Feedback,2023-02-20,Email,7
359,Charlie Brown,Feedback,2022-07-08,Phone,10
360,Frank Miller,General Inquiry,2023-03-11,In-store,1
361,Charlie Brown,Technical Support,2023-12-08,Phone,9
362,Henry Wilson,Product Inquiry,2023-05-30,In-store,7
363,Grace Lee,Technical Support,2022-11-19,Social Media,7
364,Charlie Brown,Product Inquiry,2022-07-09,Email,9
365,Frank Miller,Order Issue,2022-10-31,Email,10
366,Henry Wilson,Feedback,2024-01-24,Social Media,4
367,Ivy Carter,Feedback,2023-02-23,In-store,8
368,Charlie Brown,Feedback,2022-06-04,Phone,8
369,Bob Williams,Product Inquiry,2022-12-23,Social Media,6
370,Jack Thompson,General Inquiry,2022-05-23,Social Media,5
371,Alice Johnson,Order Issue,2023-12-22,Phone,6
372,Ivy Carter,Product Inquiry,2023-02-10,Email,8
373,Ivy Carter,Product Inquiry,2023-11-17,Live Chat,4
374,Grace Lee,Order Issue,2022-02-16,Phone,9
375,Bob Williams,Product Inquiry,2022-08-30,Live Chat,6
376,Bob Williams,Technical Support,2024-01-30,Phone,4
377,Jack Thompson,Order Issue,2022-07-16,Phone,2
378,Charlie Brown,Order Issue,2022-11-30,Phone,8
379,Henry Wilson,Order Issue,2022-04-29,In-store,9
380,Alice Johnson,Feedback,2022-02-09,Email,7
381,Frank Miller,General Inquiry,2023-09-26,Live Chat,10
382,Emily Davis,Feedback,2022-05-19,Social Media,10
383,Alice Johnson,Technical Support,2023-05-30,Social Media,1
384,Frank Miller,Order Issue,2023-11-07,Phone,1
385,Emily Davis,Order Issue,2023-07-01,Phone,7
386,Emily Davis,General Inquiry,2022-11-16,In-store,7
387,Emily Davis,Feedback,2023-09-29,Email,4
388,Charlie Brown,General Inquiry,2022-05-25,Live Chat,6
389,Bob Williams,Technical Support,2023-02-05,Live Chat,9
390,Jack Thompson,Order Issue,2022-10-20,Social Media,8
391,Frank Miller,Feedback,2022-04-04,In-store,3
392,Emily Davis,Order Issue,2024-01-26,In-store,3
393,Charlie Brown,Product Inquiry,2023-11-03,Live Chat,9
394,Henry Wilson,Technical Support,2022-02-16,Phone,7
395,David Smith,Feedback,2024-01-17,Social Media,2
396,Bob Williams,Order Issue,2022-08-03,Phone,4
397,Alice Johnson,Feedback,2023-04-16,In-store,9
398,Jack Thompson,Product Inquiry,2023-12-30,Email,1
399,Jack Thompson,Order Issue,2023-02-18,Social Media,2
400,Bob Williams,General Inquiry,2022-01-08,Live Chat,4
401,Ivy Carter,General Inquiry,2022-02-21,Phone,5
402,Alice Johnson,Feedback,2023-09-21,Social Media,9
403,Ivy Carter,Order Issue,2023-02-18,Live Chat,7
404,Grace Lee,Feedback,2023-09-18,Phone,8
405,Charlie Brown,Feedback,2022-11-13,Phone,8
406,Jack Thompson,Technical Support,2023-06-19,Email,3
407,Alice Johnson,Order Issue,2022-01-07,Live Chat,7
408,Grace Lee,Technical Support,2022-11-01,Phone,5
409,Grace Lee,Product Inquiry,2022-10-13,Phone,3
410,Grace Lee,General Inquiry,2024-01-24,Email,7
411,Bob Williams,General Inquiry,2022-08-17,Email,6
412,Charlie Brown,Feedback,2023-07-16,Email,8
413,Bob Williams,Technical Support,2022-02-21,Live Chat,3
414,Jack Thompson,Feedback,2022-12-20,Email,9
415,Bob Williams,Order Issue,2023-11-26,In-store,3
416,Grace Lee,Product Inquiry,2022-04-14,Phone,10
417,Henry Wilson,Feedback,2024-03-01,In-store,9
418,Henry Wilson,Order Issue,2022-10-28,Social Media,4
419,Emily Davis,General Inquiry,2023-08-15,In-store,9
420,Bob Williams,Product Inquiry,2023-11-19,Email,9
421,David Smith,Order Issue,2022-04-17,In-store,1
422,Charlie Brown,Order Issue,2022-05-25,Phone,1
423,Frank Miller,Feedback,2022-07-05,In-store,7
424,Jack Thompson,Feedback,2022-09-22,Social Media,3
425,Bob Williams,General Inquiry,2022-07-07,Phone,1
426,Bob Williams,Order Issue,2023-12-11,Live Chat,6
427,Frank Miller,Feedback,2022-06-18,Phone,7
428,Charlie Brown,Technical Support,2022-06-17,Social Media,5
429,Henry Wilson,Order Issue,2022-04-10,Phone,9
430,Charlie Brown,Product Inquiry,2023-10-26,Email,2
431,Charlie Brown,General Inquiry,2023-01-04,Live Chat,10
432,David Smith,Feedback,2023-01-28,Phone,4
433,Grace Lee,General Inquiry,2023-11-11,In-store,1
434,Ivy Carter,General Inquiry,2022-07-11,Social Media,7
435,Emily Davis,Feedback,2023-08-08,Phone,2
436,Emily Davis,Feedback,2022-04-02,Phone,10
437,David Smith,Product Inquiry,2022-08-14,In-store,5
438,Grace Lee,Order Issue,2024-01-18,Live Chat,7
439,Ivy Carter,Order Issue,2022-05-23,Live Chat,1
440,Frank Miller,Technical Support,2023-12-20,Email,5
441,David Smith,General Inquiry,2023-05-17,Live Chat,5
442,Alice Johnson,Order Issue,2023-09-24,Phone,7
443,Alice Johnson,Product Inquiry,2023-01-10,Phone,5
444,Emily Davis,Order Issue,2023-03-15,In-store,2
445,Jack Thompson,General Inquiry,2024-02-12,Social Media,2
446,Bob Williams,Order Issue,2024-01-21,Email,1
447,Charlie Brown,Order Issue,2023-07-04,Social Media,2
448,Grace Lee,Feedback,2024-01-28,Phone,1
449,Grace Lee,Order Issue,2023-05-03,In-store,4
450,David Smith,Product Inquiry,2023-02-04,Social Media,2
451,Frank Miller,Order Issue,2023-10-14,Email,7
452,Jack Thompson,Feedback,2023-09-29,In-store,7
453,Alice Johnson,General Inquiry,2022-08-26,Email,3
454,David Smith,Product Inquiry,2022-07-15,In-store,1
455,Grace Lee,Order Issue,2023-10-11,In-store,4
456,Henry Wilson,Product Inquiry,2023-03-22,Phone,1
457,Bob Williams,Feedback,2023-05-17,In-store,5
458,Ivy Carter,Product Inquiry,2023-02-15,Phone,2
459,Bob Williams,Product Inquiry,2022-05-26,Email,9
460,Alice Johnson,Product Inquiry,2022-01-30,Social Media,1
461,Ivy Carter,Feedback,2022-06-10,Live Chat,7
462,Jack Thompson,Order Issue,2022-06-30,In-store,9
463,David Smith,Order Issue,2022-08-22,Social Media,8
464,Bob Williams,Order Issue,2023-05-21,Email,4
465,Henry Wilson,Feedback,2023-03-17,Social Media,9
466,Grace Lee,Product Inquiry,2022-06-20,Live Chat,2
467,Frank Miller,Feedback,2022-03-01,In-store,8
468,Bob Williams,General Inquiry,2023-07-21,Phone,2
469,Henry Wilson,General Inquiry,2023-05-16,In-store,4
470,Grace Lee,Technical Support,2023-05-02,Email,6
471,David Smith,Technical Support,2023-01-14,Email,6
472,Bob Williams,Product Inquiry,2023-03-26,Phone,10
473,Charlie Brown,Feedback,2022-04-27,Phone,9
474,Alice Johnson,Product Inquiry,2024-02-19,Email,2
475,Charlie Brown,Product Inquiry,2022-10-09,Phone,7
476,Grace Lee,Technical Support,2022-01-18,Live Chat,7
477,Henry Wilson,Feedback,2022-01-01,Phone,5
478,Charlie Brown,Order Issue,2022-08-06,Live Chat,9
479,Jack Thompson,Order Issue,2022-08-17,Phone,5
